UMAP1,UMAP2
10.648209,9.1413765
-2.1994846,6.7136345
11.5653105,10.812553
9.440264,10.045651
7.1035075,-0.17258659
10.267396,9.152727
7.646529,-2.1156378
-3.3192112,1.8974338
5.720696,1.8716141
5.327789,1.9970645
11.408261,10.102062
1.1565807,8.176507
1.6496239,4.0515985
11.060587,11.152768
1.0621878,5.802717
-1.0469635,6.7499475
-0.6484629,6.088599
-2.5993788,7.440677
12.016313,9.935897
1.2740397,7.0097013
12.122858,6.781346
1.1353918,5.668938
-2.3290448,3.909547
12.334154,10.154589
11.279743,9.877454
7.653597,-2.8243864
11.633422,10.048083
7.340411,-0.2105147
0.86046666,3.3047538
1.5593026,8.4383335
11.210155,7.4942513
12.05981,6.93641
0.25292554,5.4056973
5.261734,2.024744
1.1864387,8.52276
7.0436363,-2.1996217
7.0851493,0.73706293
-0.4887848,6.3983083
6.440682,-2.224234
1.2341751,3.2499495
-3.452145,3.4500868
12.842501,7.4604707
11.991561,9.882258
0.43280616,3.6897924
6.863681,-3.1315162
-2.7000356,7.492986
2.1915832,3.4303353
11.203559,10.37094
1.4113922,6.753849
-2.2673912,2.5348947
12.226965,10.185134
12.97349,7.499383
-0.50019646,6.343304
1.9996923,4.538796
-1.6634113,7.664514
7.6794906,-0.6238326
7.150386,-0.15652044
12.264473,9.825158
1.7022963,7.610951
-2.5665677,7.48007
-1.6492382,3.7212608
0.3141898,5.597715
7.878232,1.162066
11.901919,9.129379
2.2330637,3.529617
-1.6230963,7.53445
10.209553,10.136238
1.2970003,6.2498736
7.550319,-2.7635849
-2.0337126,3.5652301
10.311997,10.972687
10.50298,9.92286
2.035764,3.9134564
-0.6482989,5.9518857
-1.6409148,3.6926355
0.110736765,5.170873
10.02596,9.639313
1.145234,7.170234
1.2362418,4.9129653
1.387172,7.090876
-2.7325213,3.2596815
10.280622,9.719085
12.111325,10.579853
11.9250555,6.725393
11.895534,6.7094417
10.034617,9.986257
-1.4035352,3.097729
3.060629,8.918947
1.6733224,6.8616047
-2.4548628,2.6625147
1.5367088,5.151135
6.760453,-3.0758164
11.446634,10.672133
-0.122890204,5.7977805
-0.6546721,6.426733
4.845629,1.1969486
7.654117,-2.575938
7.2659907,1.0067593
7.544918,1.5082738
-3.1654885,3.774935
5.276189,1.1901238
1.0582119,8.442868
-2.8849454,1.690185
11.432972,10.286475
4.740596,1.3001423
6.635279,1.1294724
6.5632105,1.2000465
-2.3491778,2.4908187
4.9611607,1.2557003
1.8560829,6.965725
0.70106167,3.616769
10.062222,8.591004
2.6476362,4.4133353
-3.878815,3.3018227
2.151779,3.9383054
1.2759908,6.80539
7.837564,1.5024031
10.0884495,9.232362
0.21558319,5.154242
